URI|PROPERTY|ENGLISH LABEL|TRANSLATION|POSTPROCESSING (RULES)
http://snomed.info/id/102343009|http://www.w3.org/2004/02/skos/core#prefLabel|Bullet caliber|calibre des balles|calibre des balles
http://snomed.info/id/102343009|http://www.w3.org/2004/02/skos/core#prefLabel|Bullet calibre|calibre des balles|calibre des balles
http://snomed.info/id/102369003|http://www.w3.org/2004/02/skos/core#prefLabel|Shot size|taille du plomb|taille du plomb
http://snomed.info/id/102369003|http://www.w3.org/2004/02/skos/core#altLabel|Pellet size|taille de la patella|taille de la patella
http://snomed.info/id/102369003|http://www.w3.org/2004/02/skos/core#altLabel|Shot size, device|grosseur de plomb|grosseur de plomb
http://snomed.info/id/102378009|http://www.w3.org/2004/02/skos/core#prefLabel|BB shot|plomb bb|plomb BB
http://snomed.info/id/102378009|http://www.w3.org/2004/02/skos/core#altLabel|.180 inch shot|plomb 0,180 po|plomb 0,180 po
http://snomed.info/id/102378009|http://www.w3.org/2004/02/skos/core#altLabel|BB shot, device|plomb bb|plomb BB
http://snomed.info/id/102393008|http://www.w3.org/2004/02/skos/core#prefLabel|Snowboarding|surf|surf
http://snomed.info/id/102394002|http://www.w3.org/2004/02/skos/core#prefLabel|Spelunking|spelunking|spelunking
http://snomed.info/id/102395001|http://www.w3.org/2004/02/skos/core#prefLabel|Paragliding|paragliage|paragliage
http://snomed.info/id/102395001|http://www.w3.org/2004/02/skos/core#altLabel|Engaged in parasailing|parasiter|parasiter
http://snomed.info/id/102396000|http://www.w3.org/2004/02/skos/core#prefLabel|Bungee jumping|saut en bungee|saut en bungee
http://snomed.info/id/102397009|http://www.w3.org/2004/02/skos/core#prefLabel|Pleasure boating|plaisir de boire|plaisir de boire
http://snomed.info/id/102398004|http://www.w3.org/2004/02/skos/core#prefLabel|Motor boating|boisage moteur|boisage moteur
http://snomed.info/id/102399007|http://www.w3.org/2004/02/skos/core#prefLabel|Canoeing|canolisation|canolisation
http://snomed.info/id/102400000|http://www.w3.org/2004/02/skos/core#prefLabel|Sailing|enclouage|enclouage
http://snomed.info/id/102401001|http://www.w3.org/2004/02/skos/core#prefLabel|White water rafting|rafting en eau blanche|rafting en eau blanche
http://snomed.info/id/10263000|http://www.w3.org/2004/02/skos/core#prefLabel|Otologic|otologique|otologique
http://snomed.info/id/10263000|http://www.w3.org/2004/02/skos/core#altLabel|Otological|otologique|otologique
http://snomed.info/id/103306004|http://www.w3.org/2004/02/skos/core#prefLabel|Contraindication to|contre-indication à|contre-indication à
http://snomed.info/id/103306004|http://www.w3.org/2004/02/skos/core#altLabel|Contraindication to (contextual qualifier)|contre-indication à (qualificatif contextuel)|contre-indication à (qualificatif contextuel)
http://snomed.info/id/103306004|http://www.w3.org/2004/02/skos/core#altLabel|With contraindication|avec contre-indication|avec contre-indication
http://snomed.info/id/103307008|http://www.w3.org/2004/02/skos/core#prefLabel|Patient concerned|patient concerné|patient concerné
http://snomed.info/id/103307008|http://www.w3.org/2004/02/skos/core#altLabel|Patient concerned (contextual qualifier)|patient concerné (qualificatif contextuel)|patient concerné (qualificatif contextuel)
http://snomed.info/id/103307008|http://www.w3.org/2004/02/skos/core#altLabel|Patient concerned by|patient préoccupé par|patient préoccupé par
http://snomed.info/id/103308003|http://www.w3.org/2004/02/skos/core#prefLabel|Patient not concerned|patient non préoccupé|patient non préoccupé
http://snomed.info/id/103308003|http://www.w3.org/2004/02/skos/core#altLabel|Patient not concerned (contextual qualifier)|patient non préoccupé (qualificatif contextuel)|patient non préoccupé (qualificatif contextuel)
http://snomed.info/id/103308003|http://www.w3.org/2004/02/skos/core#altLabel|Patient not concerned by|patient non préoccupé par|patient non préoccupé par
http://snomed.info/id/103309006|http://www.w3.org/2004/02/skos/core#prefLabel|Patient affected|patient affecté|patient affecté
http://snomed.info/id/103309006|http://www.w3.org/2004/02/skos/core#altLabel|Patient affected (contextual qualifier)|patient affecté (qualificatif contextuel)|patient affecté (qualificatif contextuel)
http://snomed.info/id/103309006|http://www.w3.org/2004/02/skos/core#altLabel|Patient affected by|patient affecté par|patient affecté par
http://snomed.info/id/103310001|http://www.w3.org/2004/02/skos/core#prefLabel|Patient not affected|patient non affecté|patient non affecté
http://snomed.info/id/103310001|http://www.w3.org/2004/02/skos/core#altLabel|Patient not affected (contextual qualifier)|patient non affecté (qualificatif contextuel)|patient non affecté (qualificatif contextuel)
http://snomed.info/id/103310001|http://www.w3.org/2004/02/skos/core#altLabel|Patient not affected by|patient non affecté par|patient non affecté par
http://snomed.info/id/103311002|http://www.w3.org/2004/02/skos/core#prefLabel|Patient advised to|patient conseillé de|patient conseillé de
http://snomed.info/id/103311002|http://www.w3.org/2004/02/skos/core#altLabel|Patient advised to (contextual qualifier)|patient conseillé à (qualificatif contextuel)|patient conseillé à (qualificatif contextuel)
http://snomed.info/id/103311002|http://www.w3.org/2004/02/skos/core#altLabel|Patient given advice|le patient conseils.|patient conseils
http://snomed.info/id/103312009|http://www.w3.org/2004/02/skos/core#prefLabel|Patient not advised to|patient non conseillé de|patient non conseillé de
http://snomed.info/id/103312009|http://www.w3.org/2004/02/skos/core#altLabel|Patient not advised to (contextual qualifier)|patient non conseillé (qualificatif contextuel)|patient non conseillé (qualificatif contextuel)
http://snomed.info/id/103312009|http://www.w3.org/2004/02/skos/core#altLabel|Patient not given advice|patient non conseillé|patient non conseillé
http://snomed.info/id/103313004|http://www.w3.org/2004/02/skos/core#prefLabel|Patient given information|le patient informé.|patient informé
http://snomed.info/id/103313004|http://www.w3.org/2004/02/skos/core#altLabel|Patient given information (contextual qualifier)|patient informé (qualificatif contextuel)|patient informé (qualificatif contextuel)
http://snomed.info/id/103313004|http://www.w3.org/2004/02/skos/core#altLabel|Patient given information on|patient informé sur le patient|patient informé sur le patient
http://snomed.info/id/103314005|http://www.w3.org/2004/02/skos/core#prefLabel|Patient not given information|patient non informé|patient non informé
http://snomed.info/id/103314005|http://www.w3.org/2004/02/skos/core#altLabel|Patient not given information (contextual qualifier)|patient non informé (qualificatif contextuel)|patient non informé (qualificatif contextuel)
http://snomed.info/id/103314005|http://www.w3.org/2004/02/skos/core#altLabel|Patient not given information on|patient non informé sur|patient non informé sur
http://snomed.info/id/103315006|http://www.w3.org/2004/02/skos/core#prefLabel|Patient action required|action du patient requise|action du patient requise
http://snomed.info/id/103315006|http://www.w3.org/2004/02/skos/core#altLabel|Patient action required (contextual qualifier)|action du patient requise (qualificatif contextuel)|action du patient requise (qualificatif contextuel)
http://snomed.info/id/103315006|http://www.w3.org/2004/02/skos/core#altLabel|Patient action required by|action du patient requise par|action du patient requise par
http://snomed.info/id/103315006|http://www.w3.org/2004/02/skos/core#altLabel|Patient action required for|action du patient requise pour|action du patient requise pour
http://snomed.info/id/103315006|http://www.w3.org/2004/02/skos/core#altLabel|Patient responsible for|patient responsable de|patient responsable de
http://snomed.info/id/103316007|http://www.w3.org/2004/02/skos/core#prefLabel|Patient action not required|action du patient non requise|action du patient non requise
http://snomed.info/id/103316007|http://www.w3.org/2004/02/skos/core#altLabel|Patient action not required (contextual qualifier)|action du patient non requise (qualificatif contextuel)|action du patient non requise (qualificatif contextuel)
http://snomed.info/id/103316007|http://www.w3.org/2004/02/skos/core#altLabel|Patient action not required by|action du patient non requise par|action du patient non requise par
http://snomed.info/id/103316007|http://www.w3.org/2004/02/skos/core#altLabel|Patient action not required for|action du patient non requise pour|action du patient non requise pour
http://snomed.info/id/103316007|http://www.w3.org/2004/02/skos/core#altLabel|Patient not responsible for|patient non responsable de|patient non responsable de
http://snomed.info/id/103317003|http://www.w3.org/2004/02/skos/core#prefLabel|Patient suspected of|patient suspect de|patient suspect de
http://snomed.info/id/103317003|http://www.w3.org/2004/02/skos/core#altLabel|Patient suspected of (contextual qualifier)|patient suspect de (qualificatif contextuel)|patient suspect de (qualificatif contextuel)
http://snomed.info/id/103318008|http://www.w3.org/2004/02/skos/core#prefLabel|Patient not suspected of|patient non suspect de|patient non suspect de
http://snomed.info/id/103318008|http://www.w3.org/2004/02/skos/core#altLabel|Patient not suspected of (contextual qualifier)|patient non suspect de (qualificatif contextuel)|patient non suspect de (qualificatif contextuel)
http://snomed.info/id/103319000|http://www.w3.org/2004/02/skos/core#prefLabel|Patient performance|performance du patient|performance du patient
http://snomed.info/id/103319000|http://www.w3.org/2004/02/skos/core#altLabel|Patient performance (contextual qualifier)|qualificatif contextuel performance patient|qualificatif contextuel performance patient
http://snomed.info/id/103320006|http://www.w3.org/2004/02/skos/core#prefLabel|Request for|demande pour|demande pour
http://snomed.info/id/103320006|http://www.w3.org/2004/02/skos/core#altLabel|Request for (contextual qualifier)|demande de (qualificatif contextuel)|demande de (qualificatif contextuel)
http://snomed.info/id/103321005|http://www.w3.org/2004/02/skos/core#prefLabel|Request by physician|la demande du médecin|demande du médecin
http://snomed.info/id/103321005|http://www.w3.org/2004/02/skos/core#altLabel|Request by physician (contextual qualifier)|la demande du médecin (qualificatif contextuel)|demande du médecin (qualificatif contextuel)
http://snomed.info/id/103322003|http://www.w3.org/2004/02/skos/core#prefLabel|Request by third party on behalf of patient|la demande d'un tiers au nom du patient.|demande d'un tiers au nom du patient
http://snomed.info/id/103322003|http://www.w3.org/2004/02/skos/core#altLabel|Request by third party on behalf of patient (contextual qualifier)|demande d'un tiers au nom du patient (qualificatif contextuel)|demande d'un tiers au nom du patient (qualificatif contextuel)
http://snomed.info/id/103323008|http://www.w3.org/2004/02/skos/core#prefLabel|Request by health care worker|la demande du personnel soignant.|demande du personnel soignant
http://snomed.info/id/103323008|http://www.w3.org/2004/02/skos/core#altLabel|Request by health care worker (contextual qualifier)|la demande du personnel soignant (qualificatif contextuel).|demande du personnel soignant (qualificatif contextuel)
http://snomed.info/id/103324002|http://www.w3.org/2004/02/skos/core#prefLabel|Patient visit for|visite du patient pour|visite du patient pour
http://snomed.info/id/103324002|http://www.w3.org/2004/02/skos/core#altLabel|Patient visit for (contextual qualifier)|visite du patient pour (qualificatif contextuel)|visite du patient pour (qualificatif contextuel)
http://snomed.info/id/103324002|http://www.w3.org/2004/02/skos/core#altLabel|Visit for|visite pour|visite pour
http://snomed.info/id/103325001|http://www.w3.org/2004/02/skos/core#prefLabel|Patient need for|besoin du patient pour|besoin du patient pour
http://snomed.info/id/103325001|http://www.w3.org/2004/02/skos/core#altLabel|Need for|besoin pour|besoin pour
http://snomed.info/id/103325001|http://www.w3.org/2004/02/skos/core#altLabel|Patient need for (contextual qualifier)|besoin du patient (qualificatif contextuel)|besoin du patient (qualificatif contextuel)
http://snomed.info/id/103325001|http://www.w3.org/2004/02/skos/core#altLabel|Patient needs|besoins des patients|besoins des patients
http://snomed.info/id/103326000|http://www.w3.org/2004/02/skos/core#prefLabel|Patient dependence on|dépendance à un patient|dépendance à un patient
http://snomed.info/id/103326000|http://www.w3.org/2004/02/skos/core#altLabel|Dependence on|dépendance à|dépendance à
http://snomed.info/id/103326000|http://www.w3.org/2004/02/skos/core#altLabel|Patient dependence on (contextual qualifier)|dépendance du patient envers (qualificatif contextuel)|dépendance du patient envers (qualificatif contextuel)
http://snomed.info/id/103327009|http://www.w3.org/2004/02/skos/core#prefLabel|Patient waiting for|le patient en attente.|patient en attent
http://snomed.info/id/103327009|http://www.w3.org/2004/02/skos/core#altLabel|Patient waiting for (contextual qualifier)|patient en attente de (qualificatif contextuel)|patient en attente de (qualificatif contextuel)
http://snomed.info/id/103327009|http://www.w3.org/2004/02/skos/core#altLabel|Waiting for|en attendant.|en attendant
http://snomed.info/id/103328004|http://www.w3.org/2004/02/skos/core#prefLabel|Availability of|disponibilité de|disponibilité de
http://snomed.info/id/103328004|http://www.w3.org/2004/02/skos/core#altLabel|Availability of (contextual qualifier)|disponibilité du (qualificatif contextuel)|disponibilité du (qualificatif contextuel)
http://snomed.info/id/103328004|http://www.w3.org/2004/02/skos/core#altLabel|Available|disponible|disponible
http://snomed.info/id/103329007|http://www.w3.org/2004/02/skos/core#prefLabel|Unavailability of|indisponibilité de|indisponibilité de
http://snomed.info/id/103329007|http://www.w3.org/2004/02/skos/core#altLabel|Unavailability of (contextual qualifier)|indisponibilité de (qualificatif contextuel)|indisponibilité de (qualificatif contextuel)
http://snomed.info/id/103329007|http://www.w3.org/2004/02/skos/core#altLabel|Unavailable|indisponible|indisponible
http://snomed.info/id/103330002|http://www.w3.org/2004/02/skos/core#prefLabel|No diagnosis|absence de diagnostic|absence de diagnostic
http://snomed.info/id/103330002|http://www.w3.org/2004/02/skos/core#altLabel|No diagnosis (contextual qualifier)|absence de diagnostic (qualificatif contextuel)|absence de diagnostic (qualificatif contextuel)
http://snomed.info/id/103332005|http://www.w3.org/2004/02/skos/core#prefLabel|Consequence of|conséquence de|conséquence de
http://snomed.info/id/103332005|http://www.w3.org/2004/02/skos/core#altLabel|Consequence of (contextual qualifier)|conséquence de (qualificatif contextuel)|conséquence de (qualificatif contextuel)
http://snomed.info/id/103333000|http://www.w3.org/2004/02/skos/core#prefLabel|With time|avec le temps|avec le temps
http://snomed.info/id/103333000|http://www.w3.org/2004/02/skos/core#altLabel|Has time|a le temps|a le temps
http://snomed.info/id/103333000|http://www.w3.org/2004/02/skos/core#altLabel|Has timing|a le temps|a le temps
http://snomed.info/id/103334006|http://www.w3.org/2004/02/skos/core#prefLabel|Delay time|temps de retard|temps de retard
http://snomed.info/id/103336008|http://www.w3.org/2004/02/skos/core#prefLabel|No mention of remission|pas de mention de rémission|pas de mention de rémission
http://snomed.info/id/103337004|http://www.w3.org/2004/02/skos/core#prefLabel|In partial remission|en rémission partielle.|en rémission partielle
http://snomed.info/id/103338009|http://www.w3.org/2004/02/skos/core#prefLabel|In full remission|en rémission complète.|en rémission entière
http://snomed.info/id/103338009|http://www.w3.org/2004/02/skos/core#altLabel|In complete remission|en rémission complète.|en rémission entière
http://snomed.info/id/103339001|http://www.w3.org/2004/02/skos/core#prefLabel|Long axis|axe long|axe long
http://snomed.info/id/103340004|http://www.w3.org/2004/02/skos/core#prefLabel|Short axis|petit axe|petit axe
http://snomed.info/id/103341000|http://www.w3.org/2004/02/skos/core#prefLabel|Off axis|hors axe|hors axe
http://snomed.info/id/103342007|http://www.w3.org/2004/02/skos/core#prefLabel|Mid-longitudinal|mi-longitudinal|mi-longitudinal
http://snomed.info/id/103343002|http://www.w3.org/2004/02/skos/core#prefLabel|Parasagittal|parasagittal|Parasagittal
http://snomed.info/id/103344008|http://www.w3.org/2004/02/skos/core#prefLabel|Transvesical|transvésical|transvésical
http://snomed.info/id/103344008|http://www.w3.org/2004/02/skos/core#altLabel|Transvesical approach|voie transvésicale|voie transvésicale
http://snomed.info/id/103344008|http://www.w3.org/2004/02/skos/core#altLabel|Via urinary bladder|via la vessie|via la vessie
http://snomed.info/id/103345009|http://www.w3.org/2004/02/skos/core#prefLabel|Transthecal|transthécal|transthécal
http://snomed.info/id/103346005|http://www.w3.org/2004/02/skos/core#prefLabel|Transsplenic|transsplénique|transsplénique
http://snomed.info/id/103346005|http://www.w3.org/2004/02/skos/core#altLabel|Transsplenic approach|voie transsplénique|voie transsplénique
http://snomed.info/id/103347001|http://www.w3.org/2004/02/skos/core#prefLabel|Transrenal|transrénal|transrénal
http://snomed.info/id/103348006|http://www.w3.org/2004/02/skos/core#prefLabel|Transpleural|transpleural|Transpleural
http://snomed.info/id/103349003|http://www.w3.org/2004/02/skos/core#prefLabel|Transpancreatic|transpancréatique|transpancréatique
http://snomed.info/id/103353001|http://www.w3.org/2004/02/skos/core#prefLabel|Transgastric|transgastrique|transgastrique
http://snomed.info/id/103353001|http://www.w3.org/2004/02/skos/core#altLabel|Transgastric approach|voie transgastrique|voie transgastrique
http://snomed.info/id/103354007|http://www.w3.org/2004/02/skos/core#prefLabel|Transmural|transmural|transmural
http://snomed.info/id/103355008|http://www.w3.org/2004/02/skos/core#prefLabel|Width|largeur|largeur
http://snomed.info/id/103355008|http://www.w3.org/2004/02/skos/core#altLabel|Has width|a la largeur|a la largeur
http://snomed.info/id/103356009|http://www.w3.org/2004/02/skos/core#prefLabel|Uncommon|inhabituel|inhabituel
http://snomed.info/id/103357000|http://www.w3.org/2004/02/skos/core#prefLabel|Palpable|palpable|palpable
http://snomed.info/id/103358005|http://www.w3.org/2004/02/skos/core#prefLabel|Glassy|glassy|glassy
http://snomed.info/id/103359002|http://www.w3.org/2004/02/skos/core#prefLabel|Unnatural|non naturel|non naturel
http://snomed.info/id/103360007|http://www.w3.org/2004/02/skos/core#prefLabel|Complex|complexe|complexe
http://snomed.info/id/103361006|http://www.w3.org/2004/02/skos/core#prefLabel|Unsteady|instable|instable
http://snomed.info/id/103362004|http://www.w3.org/2004/02/skos/core#prefLabel|Antegrade|antérograde|Antérograde
http://snomed.info/id/103363009|http://www.w3.org/2004/02/skos/core#prefLabel|Retrograde|rétrograde|rétrograde
http://snomed.info/id/103364003|http://www.w3.org/2004/02/skos/core#prefLabel|Upstream|amont|amont
http://snomed.info/id/103365002|http://www.w3.org/2004/02/skos/core#prefLabel|Downstream|aval|aval
http://snomed.info/id/103379005|http://www.w3.org/2004/02/skos/core#prefLabel|Procedural approach|approche procédurale|approche procédurale
http://snomed.info/id/103379005|http://www.w3.org/2004/02/skos/core#altLabel|Approaches|approches|approches
http://snomed.info/id/103380008|http://www.w3.org/2004/02/skos/core#prefLabel|Translumbar approach|voie translombaire|voie translombaire
http://snomed.info/id/103380008|http://www.w3.org/2004/02/skos/core#altLabel|Translumbar|translombaire|translombaire
http://snomed.info/id/103381007|http://www.w3.org/2004/02/skos/core#prefLabel|Transhepatic approach|voie transhépatique|voie transhépatique
http://snomed.info/id/103381007|http://www.w3.org/2004/02/skos/core#altLabel|Transhepatic|transhépatique|transhépatique
http://snomed.info/id/103382000|http://www.w3.org/2004/02/skos/core#prefLabel|Transtemporal approach|voie transtemporale|voie transtemporale
http://snomed.info/id/103383005|http://www.w3.org/2004/02/skos/core#prefLabel|Transesophageal approach|voie transoesophagienne|voie transœsophagienne
http://snomed.info/id/103383005|http://www.w3.org/2004/02/skos/core#prefLabel|Transoesophageal approach|voie transoesophagienne|voie transœsophagienne
http://snomed.info/id/103383005|http://www.w3.org/2004/02/skos/core#altLabel|Transesophageal|transoesophagien|transœsophagien
http://snomed.info/id/103383005|http://www.w3.org/2004/02/skos/core#altLabel|Transoesophageal|transoesophagien|transœsophagien
http://snomed.info/id/103384004|http://www.w3.org/2004/02/skos/core#prefLabel|Transtentorial approach|voie transtentorielle|voie transtentorielle
http://snomed.info/id/103386002|http://www.w3.org/2004/02/skos/core#prefLabel|Transvenous approach|voie transveineuse|voie transveineuse
http://snomed.info/id/103386002|http://www.w3.org/2004/02/skos/core#altLabel|Transvenous|transveineux|Transveineux
http://snomed.info/id/103386002|http://www.w3.org/2004/02/skos/core#altLabel|Via vein|veine via|veine via
http://snomed.info/id/103387006|http://www.w3.org/2004/02/skos/core#prefLabel|Transarterial approach|voie transartérielle|voie transartérielle
http://snomed.info/id/103387006|http://www.w3.org/2004/02/skos/core#altLabel|Transarterial|transartériel|transartériel
http://snomed.info/id/103387006|http://www.w3.org/2004/02/skos/core#altLabel|Via artery|via une artère|via une artère
http://snomed.info/id/103388001|http://www.w3.org/2004/02/skos/core#prefLabel|Percutaneous approach|voie percutanée|voie percutanée
http://snomed.info/id/103388001|http://www.w3.org/2004/02/skos/core#altLabel|Percutaneous|percutané|percutané
http://snomed.info/id/103388001|http://www.w3.org/2004/02/skos/core#altLabel|Percutaneous approach - access|voie percutanée - accès|voie percutanée - accès
http://snomed.info/id/103390000|http://www.w3.org/2004/02/skos/core#prefLabel|Elective|électif|électif
http://snomed.info/id/103391001|http://www.w3.org/2004/02/skos/core#prefLabel|Urgent|urgent|urgent
http://snomed.info/id/103391001|http://www.w3.org/2004/02/skos/core#altLabel|Has urgency|a urgence|a urgence
http://snomed.info/id/103391001|http://www.w3.org/2004/02/skos/core#altLabel|Urgency|urgence|urgence
http://snomed.info/id/103392008|http://www.w3.org/2004/02/skos/core#prefLabel|Semi-quantitative|semi-quantitatif|semi-quantitatif
http://snomed.info/id/103393003|http://www.w3.org/2004/02/skos/core#prefLabel|Protein bound|protéine liée|protéine liée
http://snomed.info/id/103394009|http://www.w3.org/2004/02/skos/core#prefLabel|Non-protein bound|non lié aux protéines|non lié aux protéines
http://snomed.info/id/103395005|http://www.w3.org/2004/02/skos/core#prefLabel|Conjugated|conjugué|conjugué
http://snomed.info/id/103396006|http://www.w3.org/2004/02/skos/core#prefLabel|Unconjugated|non conjugué|non conjugué
http://snomed.info/id/103396006|http://www.w3.org/2004/02/skos/core#altLabel|Unconjugated fraction of|fraction non conjuguée de|fraction non conjuguée de
http://snomed.info/id/103397002|http://www.w3.org/2004/02/skos/core#prefLabel|Free fraction of|fraction libre de|fraction libre de
http://snomed.info/id/103398007|http://www.w3.org/2004/02/skos/core#prefLabel|Fractions of|fractions de|fractions de
http://snomed.info/id/103399004|http://www.w3.org/2004/02/skos/core#prefLabel|Total (all fractions of)|total de toutes les fractions|total de toutes les fractions
http://snomed.info/id/103400006|http://www.w3.org/2004/02/skos/core#prefLabel|Degree of saturation of|degré de saturation de|degré de saturation de
http://snomed.info/id/103401005|http://www.w3.org/2004/02/skos/core#prefLabel|Saturated|saturé|saturé
http://snomed.info/id/103402003|http://www.w3.org/2004/02/skos/core#prefLabel|Unsaturated|insaturé|insaturé
http://snomed.info/id/103403008|http://www.w3.org/2004/02/skos/core#prefLabel|Type of graft|type de greffe|type de greffe
http://snomed.info/id/103404002|http://www.w3.org/2004/02/skos/core#prefLabel|Orthotopic graft|greffe orthotopique|greffe orthotopique
http://snomed.info/id/103404002|http://www.w3.org/2004/02/skos/core#altLabel|Homotopic graft|greffe homotopique|greffe homotopique
http://snomed.info/id/103405001|http://www.w3.org/2004/02/skos/core#prefLabel|Heterotopic graft|greffe hétérotopique|greffe hétérotopique
http://snomed.info/id/103422004|http://www.w3.org/2004/02/skos/core#prefLabel|NK cell origin|cellules nk|cellules NK
http://snomed.info/id/103422004|http://www.w3.org/2004/02/skos/core#altLabel|Natural killer (NK) cell origin|origine cellulaire NK (natural killer)|origine cellulaire NK (natural killer)
http://snomed.info/id/103422004|http://www.w3.org/2004/02/skos/core#altLabel|Natural killer cell origin|origine des cellules tueuses naturelles|origine des cellules tueuses naturelles
http://snomed.info/id/10496000|http://www.w3.org/2004/02/skos/core#prefLabel|Camping|camping|camping
http://snomed.info/id/1052202006|http://www.w3.org/2004/02/skos/core#prefLabel|Estrogen receptor agonist|agoniste des récepteurs aux oestrogènes|agoniste des récepteurs aux œstrogènes
http://snomed.info/id/10547007|http://www.w3.org/2004/02/skos/core#prefLabel|Otic route|voie otique|voie otique
http://snomed.info/id/10547007|http://www.w3.org/2004/02/skos/core#altLabel|Auricular route|voie auriculaire|voie auriculaire
http://snomed.info/id/10547007|http://www.w3.org/2004/02/skos/core#altLabel|Auricular use|usage auriculaire|usage auriculaire
http://snomed.info/id/10547007|http://www.w3.org/2004/02/skos/core#altLabel|Otic use|usage otique|usage otique
http://snomed.info/id/1055211002|http://www.w3.org/2004/02/skos/core#prefLabel|Weight gain process|processus de gain de poids|processus de gain de poids
http://snomed.info/id/1055211002|http://www.w3.org/2004/02/skos/core#altLabel|Gaining weight process|gain de poids|gain de poids
http://snomed.info/id/1055212009|http://www.w3.org/2004/02/skos/core#prefLabel|Weight loss process|processus de perte de poids|processus de perte de poids
http://snomed.info/id/1055212009|http://www.w3.org/2004/02/skos/core#altLabel|Losing weight process|perte de poids|perte de poids
http://snomed.info/id/1055273006|http://www.w3.org/2004/02/skos/core#prefLabel|Selective progesterone receptor modulator|modulateur sélectif des récepteurs de la progestérone|modulateur sélectif des récepteurs de la progestérone
http://snomed.info/id/10580000|http://www.w3.org/2004/02/skos/core#prefLabel|Roller skating|patins à roulettes|patins à roulettes
http://snomed.info/id/105808006|http://www.w3.org/2004/02/skos/core#prefLabel|Specific occupational equipment AND/OR hazard|équipement professionnel spécifique et / ou risque.|équipement professionnel spécifique et/ou risque
http://snomed.info/id/105808006|http://www.w3.org/2004/02/skos/core#altLabel|Specific occupational equipment/hazard|équipement et risques professionnels spécifiques.|équipement et risques professionnels spécifiques
http://snomed.info/id/105904009|http://www.w3.org/2004/02/skos/core#prefLabel|Type of drug preparation|type de préparation médicamenteuse|type de préparation médicamenteuse
http://snomed.info/id/106227002|http://www.w3.org/2004/02/skos/core#prefLabel|General information qualifier|qualificatif général|qualificatif général
http://snomed.info/id/106229004|http://www.w3.org/2004/02/skos/core#prefLabel|Qualifier for type of diagnosis|qualificatif de type de diagnostic|qualificatif de type de diagnostic
http://snomed.info/id/106230009|http://www.w3.org/2004/02/skos/core#prefLabel|Qualifier for certainty of diagnosis|qualificatif pour certitude de diagnostic|qualificatif pour certitude de diagnostic
http://snomed.info/id/106231008|http://www.w3.org/2004/02/skos/core#prefLabel|Special information qualifier|qualificatif d'information spéciale|qualificatif d'information spéciale
http://snomed.info/id/106232001|http://www.w3.org/2004/02/skos/core#prefLabel|Adjectival modifier|modificateur adjectival|modificateur adjectival
http://snomed.info/id/106233006|http://www.w3.org/2004/02/skos/core#prefLabel|Topographical modifier|modificateur topographique|modificateur topographique
http://snomed.info/id/106234000|http://www.w3.org/2004/02/skos/core#prefLabel|General adjectival modifier|modificateur adjectival général|modificateur adjectival général
