uri|property|term
http://snomed.info/id/118549005|http://www.w3.org/2004/02/skos/core#prefLabel|nombre par aire
http://snomed.info/id/118550005|http://www.w3.org/2004/02/skos/core#prefLabel|concentration numérique
http://snomed.info/id/118551009|http://www.w3.org/2004/02/skos/core#prefLabel|contenu en nombre
http://snomed.info/id/118552002|http://www.w3.org/2004/02/skos/core#prefLabel|fraction numérique
http://snomed.info/id/118553007|http://www.w3.org/2004/02/skos/core#prefLabel|rapport numérique
http://snomed.info/id/118554001|http://www.w3.org/2004/02/skos/core#prefLabel|concentration relative d'une substance
http://snomed.info/id/118555000|http://www.w3.org/2004/02/skos/core#prefLabel|quantité de substance
http://snomed.info/id/118556004|http://www.w3.org/2004/02/skos/core#prefLabel|concentration d'une substance
http://snomed.info/id/118557008|http://www.w3.org/2004/02/skos/core#prefLabel|rapport de concentrations de substance
http://snomed.info/id/118558003|http://www.w3.org/2004/02/skos/core#prefLabel|contenu en substance
http://snomed.info/id/118559006|http://www.w3.org/2004/02/skos/core#prefLabel|debit de contenu en substance
http://snomed.info/id/118560001|http://www.w3.org/2004/02/skos/core#prefLabel|fraction de substance
http://snomed.info/id/118561002|http://www.w3.org/2004/02/skos/core#prefLabel|accroissement de la concentration d'une substance
http://snomed.info/id/118562009|http://www.w3.org/2004/02/skos/core#prefLabel|débit de substance
http://snomed.info/id/118563004|http://www.w3.org/2004/02/skos/core#prefLabel|rapport entre deux substances
http://snomed.info/id/118564005|http://www.w3.org/2004/02/skos/core#prefLabel|concentration seuil d'une substance
http://snomed.info/id/118565006|http://www.w3.org/2004/02/skos/core#prefLabel|volume
http://snomed.info/id/118566007|http://www.w3.org/2004/02/skos/core#prefLabel|contenu en volume
http://snomed.info/id/118567003|http://www.w3.org/2004/02/skos/core#prefLabel|fraction volumétrique
http://snomed.info/id/118568008|http://www.w3.org/2004/02/skos/core#prefLabel|indice volumétrique
http://snomed.info/id/118569000|http://www.w3.org/2004/02/skos/core#prefLabel|concentration arbitraire
http://snomed.info/id/118570004|http://www.w3.org/2004/02/skos/core#prefLabel|contenu arbitraire
http://snomed.info/id/118571000|http://www.w3.org/2004/02/skos/core#prefLabel|concentration arbitraire seuil
http://snomed.info/id/118572007|http://www.w3.org/2004/02/skos/core#prefLabel|débit arbitraire
http://snomed.info/id/118575009|http://www.w3.org/2004/02/skos/core#prefLabel|date et heure
http://snomed.info/id/118576005|http://www.w3.org/2004/02/skos/core#prefLabel|rapport temporel
http://snomed.info/id/118577001|http://www.w3.org/2004/02/skos/core#prefLabel|temps relatif réciproque
http://snomed.info/id/118578006|http://www.w3.org/2004/02/skos/core#prefLabel|temps relatif
http://snomed.info/id/118580000|http://www.w3.org/2004/02/skos/core#prefLabel|interprétation d'une étude
http://snomed.info/id/118582008|http://www.w3.org/2004/02/skos/core#prefLabel|pour cent
http://snomed.info/id/118583003|http://www.w3.org/2004/02/skos/core#prefLabel|percentile
http://snomed.info/id/118584009|http://www.w3.org/2004/02/skos/core#prefLabel|présence ou identitfication
http://snomed.info/id/118585005|http://www.w3.org/2004/02/skos/core#prefLabel|pression partielle
http://snomed.info/id/118586006|http://www.w3.org/2004/02/skos/core#prefLabel|rapport
http://snomed.info/id/118587002|http://www.w3.org/2004/02/skos/core#prefLabel|densité relative
http://snomed.info/id/118588007|http://www.w3.org/2004/02/skos/core#prefLabel|susceptibilité
http://snomed.info/id/118589004|http://www.w3.org/2004/02/skos/core#prefLabel|seuil
http://snomed.info/id/118590008|http://www.w3.org/2004/02/skos/core#prefLabel|titre
http://snomed.info/id/118592000|http://www.w3.org/2004/02/skos/core#prefLabel|vitesse
http://snomed.info/id/118593005|http://www.w3.org/2004/02/skos/core#prefLabel|quotient
http://snomed.info/id/118594004|http://www.w3.org/2004/02/skos/core#prefLabel|concentration de matière
http://snomed.info/id/118595003|http://www.w3.org/2004/02/skos/core#prefLabel|contenu d'une quantité
http://snomed.info/id/118596002|http://www.w3.org/2004/02/skos/core#prefLabel|fraction d'une quantité
http://snomed.info/id/118597006|http://www.w3.org/2004/02/skos/core#prefLabel|taux d'une quantité
http://snomed.info/id/118598001|http://www.w3.org/2004/02/skos/core#prefLabel|propriété de mesure
http://snomed.info/id/11896004|http://www.w3.org/2004/02/skos/core#prefLabel|intermédiaire
http://snomed.info/id/12130007|http://www.w3.org/2004/02/skos/core#prefLabel|voie intra-articulaire
http://snomed.info/id/1217004|http://www.w3.org/2004/02/skos/core#prefLabel|biphasique
http://snomed.info/id/123027009|http://www.w3.org/2004/02/skos/core#prefLabel|24 heures
http://snomed.info/id/123028004|http://www.w3.org/2004/02/skos/core#prefLabel|72 heures
http://snomed.info/id/123029007|http://www.w3.org/2004/02/skos/core#prefLabel|moment précis dans le temps
http://snomed.info/id/123030002|http://www.w3.org/2004/02/skos/core#prefLabel|2 heures
http://snomed.info/id/123031003|http://www.w3.org/2004/02/skos/core#prefLabel|4 heures
http://snomed.info/id/123032005|http://www.w3.org/2004/02/skos/core#prefLabel|5 heures
http://snomed.info/id/123033000|http://www.w3.org/2004/02/skos/core#prefLabel|6 heures
http://snomed.info/id/123034006|http://www.w3.org/2004/02/skos/core#prefLabel|8 heures
http://snomed.info/id/123035007|http://www.w3.org/2004/02/skos/core#prefLabel|12 heures
http://snomed.info/id/12468001|http://www.w3.org/2004/02/skos/core#prefLabel|charge maximale d'un plancher
http://snomed.info/id/1250004|http://www.w3.org/2004/02/skos/core#prefLabel|diminué
http://snomed.info/id/125146005|http://www.w3.org/2004/02/skos/core#prefLabel|densité
http://snomed.info/id/1255732006|http://www.w3.org/2004/02/skos/core#prefLabel|anatomo-pathologie
http://snomed.info/id/1255732006|http://www.w3.org/2004/02/skos/core#altLabel|anatomopathologie
http://snomed.info/id/1255914002|http://www.w3.org/2004/02/skos/core#prefLabel|service de soins aux brûlés
http://snomed.info/id/127423001|http://www.w3.org/2004/02/skos/core#prefLabel|système antigénique plaquettaire
http://snomed.info/id/127490009|http://www.w3.org/2004/02/skos/core#prefLabel|par gastrostomie
http://snomed.info/id/127490009|http://www.w3.org/2004/02/skos/core#altLabel|voie de gastrostomie
http://snomed.info/id/127491008|http://www.w3.org/2004/02/skos/core#prefLabel|par jéjunostomie
http://snomed.info/id/127491008|http://www.w3.org/2004/02/skos/core#altLabel|voie jéjunostomie
http://snomed.info/id/127492001|http://www.w3.org/2004/02/skos/core#prefLabel|voie nasogastrique
http://snomed.info/id/12893009|http://www.w3.org/2004/02/skos/core#prefLabel|biologique
http://snomed.info/id/128954007|http://www.w3.org/2004/02/skos/core#prefLabel|phase d'une intervention
http://snomed.info/id/129084008|http://www.w3.org/2004/02/skos/core#prefLabel|étapes d'une étude électrophysiologique
http://snomed.info/id/129085009|http://www.w3.org/2004/02/skos/core#prefLabel|étape d'une intervention de cathétérisme cardiaque
http://snomed.info/id/129095002|http://www.w3.org/2004/02/skos/core#prefLabel|protocole de Bruce
http://snomed.info/id/129097005|http://www.w3.org/2004/02/skos/core#prefLabel|protocole de Balke
http://snomed.info/id/129101001|http://www.w3.org/2004/02/skos/core#prefLabel|protocole de Naughton
http://snomed.info/id/129220005|http://www.w3.org/2004/02/skos/core#prefLabel|voie transaxillaire
http://snomed.info/id/129222002|http://www.w3.org/2004/02/skos/core#prefLabel|voie intracapsulaire
http://snomed.info/id/129228003|http://www.w3.org/2004/02/skos/core#prefLabel|voie transscrotale
http://snomed.info/id/129229006|http://www.w3.org/2004/02/skos/core#prefLabel|voie inguinale
http://snomed.info/id/129236007|http://www.w3.org/2004/02/skos/core#prefLabel|voie ouverte
http://snomed.info/id/129237003|http://www.w3.org/2004/02/skos/core#prefLabel|voie fermée
http://snomed.info/id/129264002|http://www.w3.org/2004/02/skos/core#prefLabel|action
http://snomed.info/id/129265001|http://www.w3.org/2004/02/skos/core#prefLabel|action: évaluation du patient
http://snomed.info/id/129266000|http://www.w3.org/2004/02/skos/core#prefLabel|action : mesure
http://snomed.info/id/129267009|http://www.w3.org/2004/02/skos/core#prefLabel|mesure administrative
http://snomed.info/id/129269007|http://www.w3.org/2004/02/skos/core#prefLabel|action: assistance
http://snomed.info/id/129271007|http://www.w3.org/2004/02/skos/core#prefLabel|action: prise en charge
http://snomed.info/id/129272000|http://www.w3.org/2004/02/skos/core#prefLabel|action : stimulation
http://snomed.info/id/129273005|http://www.w3.org/2004/02/skos/core#prefLabel|action : admission
http://snomed.info/id/129274004|http://www.w3.org/2004/02/skos/core#prefLabel|action : congé
http://snomed.info/id/129275003|http://www.w3.org/2004/02/skos/core#prefLabel|action : transfert administratif
http://snomed.info/id/129276002|http://www.w3.org/2004/02/skos/core#prefLabel|action : orientation
http://snomed.info/id/129277006|http://www.w3.org/2004/02/skos/core#prefLabel|action : décision administrative
http://snomed.info/id/129278001|http://www.w3.org/2004/02/skos/core#prefLabel|action : vérification
http://snomed.info/id/129279009|http://www.w3.org/2004/02/skos/core#prefLabel|action médicolégale
http://snomed.info/id/129283009|http://www.w3.org/2004/02/skos/core#prefLabel|action : formation
http://snomed.info/id/129284003|http://www.w3.org/2004/02/skos/core#prefLabel|acte chirurgical
http://snomed.info/id/129286001|http://www.w3.org/2004/02/skos/core#prefLabel|action : microchirurgie
http://snomed.info/id/129292007|http://www.w3.org/2004/02/skos/core#prefLabel|action : évacuation
http://snomed.info/id/129293002|http://www.w3.org/2004/02/skos/core#prefLabel|action : dissection
http://snomed.info/id/129299003|http://www.w3.org/2004/02/skos/core#prefLabel|action : libération
http://snomed.info/id/129300006|http://www.w3.org/2004/02/skos/core#prefLabel|action : ponction
http://snomed.info/id/129303008|http://www.w3.org/2004/02/skos/core#prefLabel|action: retrait
http://snomed.info/id/129306000|http://www.w3.org/2004/02/skos/core#prefLabel|action : retrait chirurgical
http://snomed.info/id/129309007|http://www.w3.org/2004/02/skos/core#prefLabel|action : amputation
http://snomed.info/id/129316008|http://www.w3.org/2004/02/skos/core#prefLabel|action : aspiration
http://snomed.info/id/129325002|http://www.w3.org/2004/02/skos/core#prefLabel|action: introduction
http://snomed.info/id/129328000|http://www.w3.org/2004/02/skos/core#prefLabel|action : gonflement
http://snomed.info/id/129331004|http://www.w3.org/2004/02/skos/core#prefLabel|action : perfusion
http://snomed.info/id/129333001|http://www.w3.org/2004/02/skos/core#prefLabel|action: insufflation
http://snomed.info/id/129355009|http://www.w3.org/2004/02/skos/core#prefLabel|action : marsupialisation
http://snomed.info/id/129369009|http://www.w3.org/2004/02/skos/core#prefLabel|action : ligature
http://snomed.info/id/129371009|http://www.w3.org/2004/02/skos/core#prefLabel|action : fixation
http://snomed.info/id/129378003|http://www.w3.org/2004/02/skos/core#prefLabel|action : stabilisation
http://snomed.info/id/129379006|http://www.w3.org/2004/02/skos/core#prefLabel|action : fusion
http://snomed.info/id/129381008|http://www.w3.org/2004/02/skos/core#prefLabel|action : élargissement
http://snomed.info/id/129382001|http://www.w3.org/2004/02/skos/core#prefLabel|action : destruction
http://snomed.info/id/129388002|http://www.w3.org/2004/02/skos/core#prefLabel|action : salabrasion
http://snomed.info/id/129406001|http://www.w3.org/2004/02/skos/core#prefLabel|action : greffe
http://snomed.info/id/129406001|http://www.w3.org/2004/02/skos/core#altLabel|transplantation
http://snomed.info/id/129408000|http://www.w3.org/2004/02/skos/core#prefLabel|action: manipulation
http://snomed.info/id/129409008|http://www.w3.org/2004/02/skos/core#prefLabel|action : mobilisation
http://snomed.info/id/129411004|http://www.w3.org/2004/02/skos/core#prefLabel|action: traction
http://snomed.info/id/129412006|http://www.w3.org/2004/02/skos/core#prefLabel|action : réduction manuelle
http://snomed.info/id/129413001|http://www.w3.org/2004/02/skos/core#prefLabel|action : élévation
