uri|property|term|subhierarchy
http://snomed.info/id/103308003|http://www.w3.org/2004/02/skos/core#altLabel|Patient not concerned by|General information qualifier
http://snomed.info/id/103309006|http://www.w3.org/2004/02/skos/core#prefLabel|Patient affected|General information qualifier
http://snomed.info/id/103309006|http://www.w3.org/2004/02/skos/core#altLabel|Patient affected (contextual qualifier)|General information qualifier
http://snomed.info/id/103309006|http://www.w3.org/2004/02/skos/core#altLabel|Patient affected by|General information qualifier
http://snomed.info/id/103310001|http://www.w3.org/2004/02/skos/core#prefLabel|Patient not affected|General information qualifier
http://snomed.info/id/103310001|http://www.w3.org/2004/02/skos/core#altLabel|Patient not affected (contextual qualifier)|General information qualifier
http://snomed.info/id/103310001|http://www.w3.org/2004/02/skos/core#altLabel|Patient not affected by|General information qualifier
http://snomed.info/id/103311002|http://www.w3.org/2004/02/skos/core#prefLabel|Patient advised to|General information qualifier
http://snomed.info/id/103311002|http://www.w3.org/2004/02/skos/core#altLabel|Patient advised to (contextual qualifier)|General information qualifier
http://snomed.info/id/103311002|http://www.w3.org/2004/02/skos/core#altLabel|Patient given advice|General information qualifier
http://snomed.info/id/103312009|http://www.w3.org/2004/02/skos/core#prefLabel|Patient not advised to|General information qualifier
http://snomed.info/id/103312009|http://www.w3.org/2004/02/skos/core#altLabel|Patient not advised to (contextual qualifier)|General information qualifier
http://snomed.info/id/103312009|http://www.w3.org/2004/02/skos/core#altLabel|Patient not given advice|General information qualifier
http://snomed.info/id/103313004|http://www.w3.org/2004/02/skos/core#prefLabel|Patient given information|General information qualifier
http://snomed.info/id/103313004|http://www.w3.org/2004/02/skos/core#altLabel|Patient given information (contextual qualifier)|General information qualifier
http://snomed.info/id/103313004|http://www.w3.org/2004/02/skos/core#altLabel|Patient given information on|General information qualifier
http://snomed.info/id/103314005|http://www.w3.org/2004/02/skos/core#prefLabel|Patient not given information|General information qualifier
http://snomed.info/id/103314005|http://www.w3.org/2004/02/skos/core#altLabel|Patient not given information (contextual qualifier)|General information qualifier
http://snomed.info/id/103314005|http://www.w3.org/2004/02/skos/core#altLabel|Patient not given information on|General information qualifier
http://snomed.info/id/103315006|http://www.w3.org/2004/02/skos/core#prefLabel|Patient action required|General information qualifier
http://snomed.info/id/103315006|http://www.w3.org/2004/02/skos/core#altLabel|Patient action required (contextual qualifier)|General information qualifier
http://snomed.info/id/103315006|http://www.w3.org/2004/02/skos/core#altLabel|Patient action required by|General information qualifier
http://snomed.info/id/103315006|http://www.w3.org/2004/02/skos/core#altLabel|Patient action required for|General information qualifier
http://snomed.info/id/103315006|http://www.w3.org/2004/02/skos/core#altLabel|Patient responsible for|General information qualifier
http://snomed.info/id/103316007|http://www.w3.org/2004/02/skos/core#prefLabel|Patient action not required|General information qualifier
http://snomed.info/id/103316007|http://www.w3.org/2004/02/skos/core#altLabel|Patient action not required (contextual qualifier)|General information qualifier
http://snomed.info/id/103316007|http://www.w3.org/2004/02/skos/core#altLabel|Patient action not required by|General information qualifier
http://snomed.info/id/103316007|http://www.w3.org/2004/02/skos/core#altLabel|Patient action not required for|General information qualifier
http://snomed.info/id/103316007|http://www.w3.org/2004/02/skos/core#altLabel|Patient not responsible for|General information qualifier
http://snomed.info/id/103317003|http://www.w3.org/2004/02/skos/core#prefLabel|Patient suspected of|General information qualifier
http://snomed.info/id/103317003|http://www.w3.org/2004/02/skos/core#altLabel|Patient suspected of (contextual qualifier)|General information qualifier
http://snomed.info/id/103318008|http://www.w3.org/2004/02/skos/core#prefLabel|Patient not suspected of|General information qualifier
http://snomed.info/id/103318008|http://www.w3.org/2004/02/skos/core#altLabel|Patient not suspected of (contextual qualifier)|General information qualifier
http://snomed.info/id/103319000|http://www.w3.org/2004/02/skos/core#prefLabel|Patient performance|General information qualifier
http://snomed.info/id/103319000|http://www.w3.org/2004/02/skos/core#altLabel|Patient performance (contextual qualifier)|General information qualifier
http://snomed.info/id/103320006|http://www.w3.org/2004/02/skos/core#prefLabel|Request for|General information qualifier
http://snomed.info/id/103320006|http://www.w3.org/2004/02/skos/core#altLabel|Request for (contextual qualifier)|General information qualifier
http://snomed.info/id/103321005|http://www.w3.org/2004/02/skos/core#prefLabel|Request by physician|General information qualifier
http://snomed.info/id/103321005|http://www.w3.org/2004/02/skos/core#altLabel|Request by physician (contextual qualifier)|General information qualifier
http://snomed.info/id/103322003|http://www.w3.org/2004/02/skos/core#prefLabel|Request by third party on behalf of patient|General information qualifier
http://snomed.info/id/103322003|http://www.w3.org/2004/02/skos/core#altLabel|Request by third party on behalf of patient (contextual qualifier)|General information qualifier
http://snomed.info/id/103323008|http://www.w3.org/2004/02/skos/core#prefLabel|Request by health care worker|General information qualifier
http://snomed.info/id/103323008|http://www.w3.org/2004/02/skos/core#altLabel|Request by health care worker (contextual qualifier)|General information qualifier
http://snomed.info/id/103324002|http://www.w3.org/2004/02/skos/core#prefLabel|Patient visit for|General information qualifier
http://snomed.info/id/103324002|http://www.w3.org/2004/02/skos/core#altLabel|Patient visit for (contextual qualifier)|General information qualifier
http://snomed.info/id/103324002|http://www.w3.org/2004/02/skos/core#altLabel|Visit for|General information qualifier
http://snomed.info/id/103325001|http://www.w3.org/2004/02/skos/core#prefLabel|Patient need for|General information qualifier
http://snomed.info/id/103325001|http://www.w3.org/2004/02/skos/core#altLabel|Need for|General information qualifier
http://snomed.info/id/103325001|http://www.w3.org/2004/02/skos/core#altLabel|Patient need for (contextual qualifier)|General information qualifier
http://snomed.info/id/103325001|http://www.w3.org/2004/02/skos/core#altLabel|Patient needs|General information qualifier
http://snomed.info/id/103326000|http://www.w3.org/2004/02/skos/core#prefLabel|Patient dependence on|General information qualifier
http://snomed.info/id/103326000|http://www.w3.org/2004/02/skos/core#altLabel|Dependence on|General information qualifier
http://snomed.info/id/103326000|http://www.w3.org/2004/02/skos/core#altLabel|Patient dependence on (contextual qualifier)|General information qualifier
http://snomed.info/id/103327009|http://www.w3.org/2004/02/skos/core#prefLabel|Patient waiting for|General information qualifier
http://snomed.info/id/103327009|http://www.w3.org/2004/02/skos/core#altLabel|Patient waiting for (contextual qualifier)|General information qualifier
http://snomed.info/id/103327009|http://www.w3.org/2004/02/skos/core#altLabel|Waiting for|General information qualifier
http://snomed.info/id/103328004|http://www.w3.org/2004/02/skos/core#prefLabel|Availability of|General information qualifier
http://snomed.info/id/103328004|http://www.w3.org/2004/02/skos/core#altLabel|Availability of (contextual qualifier)|General information qualifier
http://snomed.info/id/103328004|http://www.w3.org/2004/02/skos/core#altLabel|Available|General information qualifier
http://snomed.info/id/103329007|http://www.w3.org/2004/02/skos/core#prefLabel|Unavailability of|General information qualifier
http://snomed.info/id/103329007|http://www.w3.org/2004/02/skos/core#altLabel|Unavailability of (contextual qualifier)|General information qualifier
http://snomed.info/id/103329007|http://www.w3.org/2004/02/skos/core#altLabel|Unavailable|General information qualifier
http://snomed.info/id/103330002|http://www.w3.org/2004/02/skos/core#prefLabel|No diagnosis|Qualifier for type of diagnosis
http://snomed.info/id/103330002|http://www.w3.org/2004/02/skos/core#altLabel|No diagnosis (contextual qualifier)|Qualifier for type of diagnosis
http://snomed.info/id/103332005|http://www.w3.org/2004/02/skos/core#prefLabel|Consequence of|Special information qualifier
http://snomed.info/id/103332005|http://www.w3.org/2004/02/skos/core#altLabel|Consequence of (contextual qualifier)|Special information qualifier
http://snomed.info/id/103333000|http://www.w3.org/2004/02/skos/core#prefLabel|With time|Time frame
http://snomed.info/id/103333000|http://www.w3.org/2004/02/skos/core#altLabel|Has time|Time frame
http://snomed.info/id/103333000|http://www.w3.org/2004/02/skos/core#altLabel|Has timing|Time frame
http://snomed.info/id/103334006|http://www.w3.org/2004/02/skos/core#prefLabel|Delay time|Descriptor + Time frame
http://snomed.info/id/103336008|http://www.w3.org/2004/02/skos/core#prefLabel|No mention of remission|Descriptor
http://snomed.info/id/103337004|http://www.w3.org/2004/02/skos/core#prefLabel|In partial remission|Descriptor + Special atomic mapping values
http://snomed.info/id/103338009|http://www.w3.org/2004/02/skos/core#prefLabel|In full remission|Descriptor + Special atomic mapping values
http://snomed.info/id/103338009|http://www.w3.org/2004/02/skos/core#altLabel|In complete remission|Descriptor + Special atomic mapping values
http://snomed.info/id/103339001|http://www.w3.org/2004/02/skos/core#prefLabel|Long axis|Descriptor + Spatial and relational concepts
http://snomed.info/id/103340004|http://www.w3.org/2004/02/skos/core#prefLabel|Short axis|Descriptor + Spatial and relational concepts
http://snomed.info/id/103341000|http://www.w3.org/2004/02/skos/core#prefLabel|Off axis|Descriptor + Spatial and relational concepts
http://snomed.info/id/103342007|http://www.w3.org/2004/02/skos/core#prefLabel|Mid-longitudinal|Descriptor + Spatial and relational concepts
http://snomed.info/id/103343002|http://www.w3.org/2004/02/skos/core#prefLabel|Parasagittal|Descriptor + Spatial and relational concepts
http://snomed.info/id/103344008|http://www.w3.org/2004/02/skos/core#prefLabel|Transvesical|Descriptor + Spatial and relational concepts
http://snomed.info/id/103344008|http://www.w3.org/2004/02/skos/core#altLabel|Transvesical approach|Descriptor + Spatial and relational concepts
http://snomed.info/id/103344008|http://www.w3.org/2004/02/skos/core#altLabel|Via urinary bladder|Descriptor + Spatial and relational concepts
http://snomed.info/id/103345009|http://www.w3.org/2004/02/skos/core#prefLabel|Transthecal|Descriptor + Spatial and relational concepts
http://snomed.info/id/103346005|http://www.w3.org/2004/02/skos/core#prefLabel|Transsplenic|Descriptor + Spatial and relational concepts
http://snomed.info/id/103346005|http://www.w3.org/2004/02/skos/core#altLabel|Transsplenic approach|Descriptor + Spatial and relational concepts
http://snomed.info/id/103347001|http://www.w3.org/2004/02/skos/core#prefLabel|Transrenal|Descriptor + Spatial and relational concepts
http://snomed.info/id/103348006|http://www.w3.org/2004/02/skos/core#prefLabel|Transpleural|Descriptor + Spatial and relational concepts
http://snomed.info/id/103349003|http://www.w3.org/2004/02/skos/core#prefLabel|Transpancreatic|Descriptor + Spatial and relational concepts
http://snomed.info/id/103353001|http://www.w3.org/2004/02/skos/core#prefLabel|Transgastric|Descriptor + Spatial and relational concepts
http://snomed.info/id/103353001|http://www.w3.org/2004/02/skos/core#altLabel|Transgastric approach|Descriptor + Spatial and relational concepts
http://snomed.info/id/103354007|http://www.w3.org/2004/02/skos/core#prefLabel|Transmural|Descriptor + Spatial and relational concepts
http://snomed.info/id/103355008|http://www.w3.org/2004/02/skos/core#prefLabel|Width|Descriptor
http://snomed.info/id/103355008|http://www.w3.org/2004/02/skos/core#altLabel|Has width|Descriptor
http://snomed.info/id/103356009|http://www.w3.org/2004/02/skos/core#prefLabel|Uncommon|Descriptor
http://snomed.info/id/103357000|http://www.w3.org/2004/02/skos/core#prefLabel|Palpable|Descriptor
http://snomed.info/id/103358005|http://www.w3.org/2004/02/skos/core#prefLabel|Glassy|Descriptor
http://snomed.info/id/103359002|http://www.w3.org/2004/02/skos/core#prefLabel|Unnatural|Descriptor
http://snomed.info/id/103360007|http://www.w3.org/2004/02/skos/core#prefLabel|Complex|Descriptor
http://snomed.info/id/103361006|http://www.w3.org/2004/02/skos/core#prefLabel|Unsteady|Descriptor
http://snomed.info/id/103362004|http://www.w3.org/2004/02/skos/core#prefLabel|Antegrade|Descriptor
http://snomed.info/id/103363009|http://www.w3.org/2004/02/skos/core#prefLabel|Retrograde|Descriptor
http://snomed.info/id/103364003|http://www.w3.org/2004/02/skos/core#prefLabel|Upstream|Descriptor
http://snomed.info/id/103365002|http://www.w3.org/2004/02/skos/core#prefLabel|Downstream|Descriptor
http://snomed.info/id/103379005|http://www.w3.org/2004/02/skos/core#prefLabel|Procedural approach|Spatial and relational concepts
http://snomed.info/id/103379005|http://www.w3.org/2004/02/skos/core#altLabel|Approaches|Spatial and relational concepts
http://snomed.info/id/103380008|http://www.w3.org/2004/02/skos/core#prefLabel|Translumbar approach|Spatial and relational concepts
http://snomed.info/id/103380008|http://www.w3.org/2004/02/skos/core#altLabel|Translumbar|Spatial and relational concepts
http://snomed.info/id/103381007|http://www.w3.org/2004/02/skos/core#prefLabel|Transhepatic approach|Spatial and relational concepts
http://snomed.info/id/103381007|http://www.w3.org/2004/02/skos/core#altLabel|Transhepatic|Spatial and relational concepts
http://snomed.info/id/103382000|http://www.w3.org/2004/02/skos/core#prefLabel|Transtemporal approach|Spatial and relational concepts
http://snomed.info/id/103383005|http://www.w3.org/2004/02/skos/core#prefLabel|Transesophageal approach|Spatial and relational concepts
http://snomed.info/id/103383005|http://www.w3.org/2004/02/skos/core#prefLabel|Transoesophageal approach|Spatial and relational concepts
http://snomed.info/id/103383005|http://www.w3.org/2004/02/skos/core#altLabel|Transesophageal|Spatial and relational concepts
http://snomed.info/id/103383005|http://www.w3.org/2004/02/skos/core#altLabel|Transoesophageal|Spatial and relational concepts
http://snomed.info/id/103384004|http://www.w3.org/2004/02/skos/core#prefLabel|Transtentorial approach|Spatial and relational concepts
http://snomed.info/id/103386002|http://www.w3.org/2004/02/skos/core#prefLabel|Transvenous approach|Spatial and relational concepts
http://snomed.info/id/103386002|http://www.w3.org/2004/02/skos/core#altLabel|Transvenous|Spatial and relational concepts
http://snomed.info/id/103386002|http://www.w3.org/2004/02/skos/core#altLabel|Via vein|Spatial and relational concepts
http://snomed.info/id/103387006|http://www.w3.org/2004/02/skos/core#prefLabel|Transarterial approach|Spatial and relational concepts
http://snomed.info/id/103387006|http://www.w3.org/2004/02/skos/core#altLabel|Transarterial|Spatial and relational concepts
http://snomed.info/id/103387006|http://www.w3.org/2004/02/skos/core#altLabel|Via artery|Spatial and relational concepts
http://snomed.info/id/103388001|http://www.w3.org/2004/02/skos/core#prefLabel|Percutaneous approach|Spatial and relational concepts
http://snomed.info/id/103388001|http://www.w3.org/2004/02/skos/core#altLabel|Percutaneous|Spatial and relational concepts
http://snomed.info/id/103388001|http://www.w3.org/2004/02/skos/core#altLabel|Percutaneous approach - access|Spatial and relational concepts
http://snomed.info/id/103390000|http://www.w3.org/2004/02/skos/core#prefLabel|Elective|Descriptor + Modifier mainly for procedure
http://snomed.info/id/103391001|http://www.w3.org/2004/02/skos/core#prefLabel|Urgent|Descriptor + Modifier mainly for procedure
http://snomed.info/id/103391001|http://www.w3.org/2004/02/skos/core#altLabel|Has urgency|Descriptor + Modifier mainly for procedure
http://snomed.info/id/103391001|http://www.w3.org/2004/02/skos/core#altLabel|Urgency|Descriptor + Modifier mainly for procedure
http://snomed.info/id/103392008|http://www.w3.org/2004/02/skos/core#prefLabel|Semi-quantitative|Modifier mainly for procedure
http://snomed.info/id/103393003|http://www.w3.org/2004/02/skos/core#prefLabel|Protein bound|Modifier mainly for procedure
http://snomed.info/id/103394009|http://www.w3.org/2004/02/skos/core#prefLabel|Non-protein bound|Modifier mainly for procedure
http://snomed.info/id/103395005|http://www.w3.org/2004/02/skos/core#prefLabel|Conjugated|Modifiers of Analytes and Substances
http://snomed.info/id/103396006|http://www.w3.org/2004/02/skos/core#prefLabel|Unconjugated|Modifiers of Analytes and Substances
http://snomed.info/id/103396006|http://www.w3.org/2004/02/skos/core#altLabel|Unconjugated fraction of|Modifiers of Analytes and Substances
http://snomed.info/id/103397002|http://www.w3.org/2004/02/skos/core#prefLabel|Free fraction of|Modifier mainly for procedure
http://snomed.info/id/103398007|http://www.w3.org/2004/02/skos/core#prefLabel|Fractions of|Modifier mainly for procedure
http://snomed.info/id/103399004|http://www.w3.org/2004/02/skos/core#prefLabel|Total (all fractions of)|Modifiers of Analytes and Substances
http://snomed.info/id/103400006|http://www.w3.org/2004/02/skos/core#prefLabel|Degree of saturation of|Modifiers of Analytes and Substances
http://snomed.info/id/103401005|http://www.w3.org/2004/02/skos/core#prefLabel|Saturated|Modifiers of Analytes and Substances
http://snomed.info/id/103402003|http://www.w3.org/2004/02/skos/core#prefLabel|Unsaturated|Modifiers of Analytes and Substances
http://snomed.info/id/103403008|http://www.w3.org/2004/02/skos/core#prefLabel|Type of graft|Modifier mainly for procedure
http://snomed.info/id/103404002|http://www.w3.org/2004/02/skos/core#prefLabel|Orthotopic graft|Modifier mainly for procedure
http://snomed.info/id/103404002|http://www.w3.org/2004/02/skos/core#altLabel|Homotopic graft|Modifier mainly for procedure
http://snomed.info/id/103405001|http://www.w3.org/2004/02/skos/core#prefLabel|Heterotopic graft|Modifier mainly for procedure
http://snomed.info/id/103422004|http://www.w3.org/2004/02/skos/core#prefLabel|NK cell origin|General clinical stage for disease AND/OR neoplasm
http://snomed.info/id/103422004|http://www.w3.org/2004/02/skos/core#altLabel|Natural killer (NK) cell origin|General clinical stage for disease AND/OR neoplasm
http://snomed.info/id/103422004|http://www.w3.org/2004/02/skos/core#altLabel|Natural killer cell origin|General clinical stage for disease AND/OR neoplasm
http://snomed.info/id/10496000|http://www.w3.org/2004/02/skos/core#prefLabel|Camping|Sport
http://snomed.info/id/1052202006|http://www.w3.org/2004/02/skos/core#prefLabel|Estrogen receptor agonist|Disposition
http://snomed.info/id/10547007|http://www.w3.org/2004/02/skos/core#prefLabel|Otic route|Route of administration values
http://snomed.info/id/10547007|http://www.w3.org/2004/02/skos/core#altLabel|Auricular route|Route of administration values
http://snomed.info/id/10547007|http://www.w3.org/2004/02/skos/core#altLabel|Auricular use|Route of administration values
http://snomed.info/id/10547007|http://www.w3.org/2004/02/skos/core#altLabel|Otic use|Route of administration values
http://snomed.info/id/1055211002|http://www.w3.org/2004/02/skos/core#prefLabel|Weight gain process|Process
http://snomed.info/id/1055211002|http://www.w3.org/2004/02/skos/core#altLabel|Gaining weight process|Process
http://snomed.info/id/1055212009|http://www.w3.org/2004/02/skos/core#prefLabel|Weight loss process|Process
http://snomed.info/id/1055212009|http://www.w3.org/2004/02/skos/core#altLabel|Losing weight process|Process
http://snomed.info/id/1055273006|http://www.w3.org/2004/02/skos/core#prefLabel|Selective progesterone receptor modulator|Disposition
http://snomed.info/id/10580000|http://www.w3.org/2004/02/skos/core#prefLabel|Roller skating|Sport
http://snomed.info/id/105808006|http://www.w3.org/2004/02/skos/core#prefLabel|Specific occupational equipment AND/OR hazard|Any hazardous entity
http://snomed.info/id/105808006|http://www.w3.org/2004/02/skos/core#altLabel|Specific occupational equipment/hazard|Any hazardous entity
http://snomed.info/id/105904009|http://www.w3.org/2004/02/skos/core#prefLabel|Type of drug preparation|Type of drug preparation
http://snomed.info/id/106227002|http://www.w3.org/2004/02/skos/core#prefLabel|General information qualifier|General information qualifier
http://snomed.info/id/106229004|http://www.w3.org/2004/02/skos/core#prefLabel|Qualifier for type of diagnosis|Qualifier for type of diagnosis
http://snomed.info/id/106230009|http://www.w3.org/2004/02/skos/core#prefLabel|Qualifier for certainty of diagnosis|Findings values
http://snomed.info/id/106231008|http://www.w3.org/2004/02/skos/core#prefLabel|Special information qualifier|Special information qualifier
http://snomed.info/id/106232001|http://www.w3.org/2004/02/skos/core#prefLabel|Adjectival modifier|Descriptor
http://snomed.info/id/106233006|http://www.w3.org/2004/02/skos/core#prefLabel|Topographical modifier|Descriptor
http://snomed.info/id/106234000|http://www.w3.org/2004/02/skos/core#prefLabel|General adjectival modifier|Descriptor
http://snomed.info/id/106235004|http://www.w3.org/2004/02/skos/core#prefLabel|Modifier related to basic sciences|Modifier related to basic sciences
http://snomed.info/id/106236003|http://www.w3.org/2004/02/skos/core#prefLabel|Modifier related to clinical specialty AND/OR occupation|Descriptor
http://snomed.info/id/106236003|http://www.w3.org/2004/02/skos/core#prefLabel|Modifier related to clinical speciality AND/OR occupation|Descriptor
http://snomed.info/id/106239005|http://www.w3.org/2004/02/skos/core#prefLabel|Modifier mainly for procedure|Modifier mainly for procedure
http://snomed.info/id/106240007|http://www.w3.org/2004/02/skos/core#prefLabel|General clinical stage for disease AND/OR neoplasm|General clinical stage for disease AND/OR neoplasm
http://snomed.info/id/106253005|http://www.w3.org/2004/02/skos/core#prefLabel|Histologic grading differentiation AND/OR behaviour|General clinical stage for disease AND/OR neoplasm
http://snomed.info/id/106253005|http://www.w3.org/2004/02/skos/core#prefLabel|Histologic grading differentiation AND/OR behavior|General clinical stage for disease AND/OR neoplasm
http://snomed.info/id/107644003|http://www.w3.org/2004/02/skos/core#prefLabel|Shape finding|Descriptor
http://snomed.info/id/107644003|http://www.w3.org/2004/02/skos/core#altLabel|Shapes|Descriptor
http://snomed.info/id/1078210003|http://www.w3.org/2004/02/skos/core#prefLabel|Z-score calculation technique|Technique
http://snomed.info/id/1078210003|http://www.w3.org/2004/02/skos/core#altLabel|Z-score calculation|Technique
http://snomed.info/id/1078280005|http://www.w3.org/2004/02/skos/core#prefLabel|Intracatheter instillation route|Route of administration values
http://snomed.info/id/1078280005|http://www.w3.org/2004/02/skos/core#altLabel|Intracatheter instillation use|Route of administration values
http://snomed.info/id/10828004|http://www.w3.org/2004/02/skos/core#prefLabel|Positive|Descriptor + Findings values
http://snomed.info/id/10828004|http://www.w3.org/2004/02/skos/core#altLabel|Positive for|Descriptor + Findings values
http://snomed.info/id/10828004|http://www.w3.org/2004/02/skos/core#altLabel|Ruled in|Descriptor + Findings values
http://snomed.info/id/1090009|http://www.w3.org/2004/02/skos/core#prefLabel|Immature|Descriptor
http://snomed.info/id/1090009|http://www.w3.org/2004/02/skos/core#altLabel|Premature|Descriptor
http://snomed.info/id/11046004|http://www.w3.org/2004/02/skos/core#prefLabel|Floor openings|Any hazardous entity
http://snomed.info/id/11070000|http://www.w3.org/2004/02/skos/core#prefLabel|Capsular|Descriptor
http://snomed.info/id/111055000|http://www.w3.org/2004/02/skos/core#prefLabel|Mountain climbing|Sport
http://snomed.info/id/111055000|http://www.w3.org/2004/02/skos/core#altLabel|Peak climbing|Sport
http://snomed.info/id/111061002|http://www.w3.org/2004/02/skos/core#prefLabel|Sealed cobalt source|Any hazardous entity
http://snomed.info/id/11163003|http://www.w3.org/2004/02/skos/core#prefLabel|Intact|Descriptor
http://snomed.info/id/11163003|http://www.w3.org/2004/02/skos/core#altLabel|Integrity of|Descriptor
http://snomed.info/id/1119301001|http://www.w3.org/2004/02/skos/core#prefLabel|Boolean value|Descriptor
http://snomed.info/id/11214006|http://www.w3.org/2004/02/skos/core#prefLabel|Reactive|Descriptor + Special atomic mapping values
http://snomed.info/id/112189004|http://www.w3.org/2004/02/skos/core#prefLabel|Platelet antigen system HPA-3|Classification system
http://snomed.info/id/112231000|http://www.w3.org/2004/02/skos/core#prefLabel|Atypical|Descriptor
http://snomed.info/id/112232007|http://www.w3.org/2004/02/skos/core#prefLabel|Blocking|Descriptor
http://snomed.info/id/112233002|http://www.w3.org/2004/02/skos/core#prefLabel|Marginal|Descriptor + Spatial and relational concepts
http://snomed.info/id/112233002|http://www.w3.org/2004/02/skos/core#altLabel|Border|Descriptor + Spatial and relational concepts
http://snomed.info/id/112233002|http://www.w3.org/2004/02/skos/core#altLabel|Margin|Descriptor + Spatial and relational concepts
http://snomed.info/id/112233002|http://www.w3.org/2004/02/skos/core#altLabel|Verge|Descriptor + Spatial and relational concepts
